preco_imovel,tam_sala,tam_total,qtde_banheiros,qtde_quartos,condicao_imovel
300805.0,2400.026783,9372.988842,3.0,6,7
1076162.0,3764.028191,20155.940945,3.75,4,10
761805.0,2059.995182,26035.936598,1.75,4,8
442065.0,3199.999831,8618.008896,3.75,5,7
297065.0,1719.9635809999993,8619.946398,1.75,4,7
411781.0,930.00096,1012.0218779999999,1.5,2,8
380785.0,1749.994862,34464.931410000005,1.5,3,8
349489.0,1860.00192,14659.032493,1.75,4,7
231239.0,989.955883,5324.040218,1.0,2,6
463148.0,1980.019405,10585.003982,2.0,4,6
160236.0,840.014756,12749.947189,1.0,2,6
372178.0,1749.994862,5200.04009,1.0,3,7
315175.0,789.962621,5239.9741589999985,1.0,2,6
327739.0,789.962621,5239.9741589999985,1.0,2,6
634754.0,2119.950105,7319.990194999998,2.75,3,8
432352.0,2620.040899,3485.027903,1.5,4,7
505014.0,1499.949465,5252.998478,1.75,3,6
502857.0,2070.005609,4599.952665,2.25,3,7
332255.0,3020.027423,27229.007274,3.0,3,6
419369.0,2369.9955019999998,24033.958837,2.0,4,8
538921.0,1529.9807459999995,3296.013819,2.5,3,8
518725.0,1529.9807459999995,3696.000343,2.5,3,8
802796.0,2779.9924530000008,13348.958224,2.5,3,10
694292.0,2420.047637,8185.9459499999975,2.5,3,10
671246.0,2280.009298,9093.019803,2.5,4,10
641815.0,2280.009298,9093.019803,2.5,4,10
936052.0,3130.034481,8749.97431,2.5,3,10
768075.0,3059.9614919999995,9055.023235999999,3.25,3,10
853936.0,3189.989404,10223.014025,3.5,3,10
842280.0,3130.034481,13412.034678,2.75,4,9
639944.0,2659.974968,9021.009312,2.5,3,9
735333.0,2229.957163,9947.99638,2.75,3,9
603442.0,2341.040611,9593.971709,2.5,4,9
771088.0,3540.031432,9184.943509,3.75,4,9
708571.0,2469.9921329999997,9000.988458,2.5,3,9
744245.0,2810.023734,9011.967636,2.5,4,9
755027.0,2590.009618,9100.016338,2.5,4,9
429116.0,2329.953794,5419.946566999999,2.75,3,8
374781.0,1849.991493,4499.956034000002,2.5,3,8
310179.0,1849.991493,4499.956034000002,2.5,3,8
375822.0,1919.956843,4799.945927000002,2.5,4,8
399101.0,1849.991493,4597.046412,2.5,3,8
277671.0,1849.991493,4597.046412,2.5,3,8
286265.0,919.990533,5084.973999,1.0,3,7
294146.0,1189.9491449999996,5635.009289,1.0,3,7
232692.0,1289.945776,4543.011634,1.0,3,7
550142.0,2469.9921329999997,7799.952495999999,2.25,4,8
575747.0,2730.047957,9029.943349,2.5,5,8
612428.0,1980.019405,9799.992755,2.75,4,8
451523.0,1470.025823,9749.94062,1.75,3,7
570862.0,2410.03721,10999.952326999999,2.5,4,7
466797.0,1849.991493,9200.012969,2.0,3,7
667157.0,1690.0399389999998,7140.017787000002,1.75,3,8
642577.0,1509.959892,7140.017787000002,1.5,3,8
711375.0,1499.949465,8567.956761,1.5,3,8
704518.0,3620.007209,7820.9421010000015,3.5,5,10
1774213.0,3620.007209,7820.9421010000015,3.5,5,10
863533.0,3059.9614919999995,8735.981240000001,2.5,3,8
488832.0,1240.0012800000004,3999.972879,2.0,3,6
464683.0,1490.046677,5319.949936,1.75,3,8
753314.0,1790.03657,5097.998318,2.5,3,9
858177.0,1790.03657,5097.998318,2.5,3,9
717316.0,2229.957163,5459.988275,3.25,3,8
334020.0,760.0389789999997,4319.983625999998,1.0,2,6
